date,rf
19911231,0.0407
19920131,0.038
19920229,0.0384
19920331,0.0404
19920430,0.0375
19920531,0.0363
19920630,0.0366
19920731,0.0321
19920831,0.0313
19920930,0.0291
19921031,0.0286
19921130,0.0313
19921231,0.0322
19930131,0.03
19930228,0.0293
19930331,0.0295
19930430,0.0287
19930531,0.0296
19930630,0.0307
19930731,0.0304
19930831,0.0302
19930930,0.0295
19931031,0.0302
19931130,0.031
19931231,0.0306
19940131,0.0298
19940228,0.0325
19940331,0.035
19940430,0.0368
19940531,0.0414
19940630,0.0414
19940731,0.0433
19940831,0.0448
19940930,0.0462
19941031,0.0495
19941130,0.0529
19941231,0.056
19950131,0.0571
19950228,0.0577
19950331,0.0573
19950430,0.0565
19950531,0.0567
19950630,0.0547
19950731,0.0542
19950831,0.054
19950930,0.0528
19951031,0.0528
19951130,0.0536
19951231,0.0514
19960131,0.05
19960229,0.0483
19960331,0.0496
19960430,0.0495
19960531,0.0502
19960630,0.0509
19960731,0.0515
19960831,0.0505
19960930,0.0509
19961031,0.0499
19961130,0.0503
19961231,0.0491
19970131,0.0503
19970228,0.0501
19970331,0.0514
19970430,0.0516
19970531,0.0505
19970630,0.0493
19970731,0.0505
19970831,0.0514
19970930,0.0495
19971031,0.0497
19971130,0.0514
19971231,0.0516
19980131,0.0504
19980228,0.0509
19980331,0.0503
19980430,0.0495
19980531,0.05
19980630,0.0498
19980731,0.0496
19980831,0.049
19980930,0.0461
19981031,0.0396
19981130,0.0441
19981231,0.0439
19990131,0.0434
19990228,0.0444
19990331,0.0444
19990430,0.0429
19990531,0.045
19990630,0.0457
19990731,0.0455
19990831,0.0472
19990930,0.0468
19991031,0.0486
19991130,0.0507
19991231,0.052
20000131,0.0532
20000229,0.0555
20000331,0.0569
20000430,0.0566
20000531,0.0579
20000630,0.0569
20000731,0.0596
20000831,0.0609
20000930,0.06
20001031,0.0611
20001130,0.0617
20001231,0.0577
20010131,0.0515
20010228,0.0488
20010331,0.0442
20010430,0.0387
20010531,0.0362
20010630,0.0349
20010731,0.0351
20010831,0.0336
20010930,0.0264
20011031,0.0216
20011130,0.0187
